unit_id,housing_type,bedrooms,bathrooms,full_bathrooms,half_bathrooms,maximum_occupants,square_footage,minimum_stay_duration,has_rest_days,is_in_hoa,is_sub_unit,city_name,county,zip5,state_name_short,unit_latitude,unit_longitude
36910,condo,3,2,2,0,8,1215,2,false,false,false,Perdido Key,Escambia,32507,FL,30.294525,-87.445022
36922,condo,1,1,1,0,4,941,1,false,false,false,Fort Walton Beach,Okaloosa,32548,FL,30.396994,-86.615892
36964,condo,1,1,1,0,4,900,2,false,false,false,Frisco,Summit,80443,CO,39.576165,-106.097591
37206,condo,2,2,2,0,7,1130,1,false,true,false,Breckenridge,Summit,80424,CO,39.478058,-106.052695
37304,condo,2,3,2,1,8,1300,1,false,true,false,Breckenridge,Summit,80424,CO,39.476678,-106.045617
37523,house,3,2,2,0,8,"",1,false,false,false,Panama City Beach,Bay,32413,FL,30.247847,-85.937940
37540,house,4,5,5,0,14,4626,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.454222,-106.812468
37545,condo,5,5,5,0,12,2641,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.460261,-106.799863
37556,condo,3,3,3,0,10,1594,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.453719,-106.805854
37620,townhouse,5,4,4,0,12,2750,5,false,true,false,Steamboat Springs,Routt,80487,CO,40.453504,-106.809718
37651,condo,1,1,1,0,4,669,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.455540,-106.813162
37666,condo,3,3,3,0,8,1400,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.451506,-106.808913
37672,condo,4,4,4,0,12,1620,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.455163,-106.802512
37675,condo,2,3,3,0,6,1148,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.455343,-106.802490
37767,house,2,2,2,0,6,1560,2,false,false,false,Welches,Clackamas,97067,OR,45.321771,-121.955427
37821,studio,0,1,1,0,2,461,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.457368,-106.812457
38042,condo,2,2,2,0,8,1217,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.460915,-106.801707
38121,condo,2,2,2,0,7,1041,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.454072,-106.804531
38151,chalet,3,3,3,0,8,1288,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.453749,-106.804858
38236,apartment,1,1,1,0,4,650,2,false,true,false,Steamboat Springs,Routt,80487,CO,40.459420,-106.803688
38272,condo,1,2,1,1,4,766,2,false,false,false,Destin,Okaloosa,32541,FL,30.384665,-86.468415
38522,townhouse,3,3,2,1,8,1690,2,false,false,false,Silverthorne,Summit,80498,CO,39.615755,-106.093096
38641,condo,1,1,1,0,4,750,2,false,false,false,Fort Walton Beach,Okaloosa,32548,FL,30.397565,-86.622109
38694,motel,1,1,1,0,4,400,2,false,false,true,Rockaway Beach,Tillamook,97136,OR,45.617963,-123.942702
